English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Xhosa Word
aback	0	0	0	0	0	0	0	0	0	0	ngoloyiko
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	lahla
abandoned	1	0	0	1	0	1	0	1	0	0	ilahliwe
abandonment	1	0	0	1	0	1	0	1	1	0	ukulahlwa
abate	0	0	0	0	0	0	0	0	0	0	thoba
abatement	0	0	0	0	0	0	0	0	0	0	ukunciphisa
abba	0	0	0	0	0	0	1	0	0	0	aba
abbot	0	0	0	0	0	0	0	0	0	1	abbot
abbreviate	0	0	0	0	0	0	0	0	0	0	finyeza
abbreviation	0	0	0	0	0	0	0	0	0	0	isifinyezo
abdomen	0	0	0	0	0	0	0	0	0	0	isisu
abdominal	0	0	0	0	0	0	0	0	0	0	esiswini
abduction	0	0	0	1	0	1	0	1	1	0	ukuxhwila
aberrant	0	0	0	0	0	1	0	0	0	0	gwenxa
aberration	0	0	1	0	0	1	0	0	0	0	ukuphambuka
abeyance	0	0	0	0	0	0	0	0	0	0	ukushiya
abhor	1	0	1	1	0	1	0	0	0	0	cekisa
abhorrent	1	0	1	1	0	1	0	0	0	0	inezothe
abide	0	0	0	0	0	0	0	0	0	0	hlala
ability	0	0	0	0	0	0	1	0	0	0	isakhono
abject	0	0	1	0	0	1	0	0	0	0	neentloni
ablation	0	0	0	0	0	0	0	0	0	0	ukukhutshwa
ablaze	0	0	0	0	0	0	0	0	0	0	kuvutha
abnormal	0	0	1	0	0	1	0	0	0	0	engaqhelekanga
aboard	0	0	0	0	0	0	0	0	0	0	ebhodini
abode	0	0	0	0	0	0	0	0	0	0	hlala
abolish	1	0	0	0	0	1	0	0	0	0	bhangisa
abolition	0	0	0	0	0	1	0	0	0	0	ukupheliswa
abominable	0	0	1	1	0	1	0	0	0	0	elizothe
abomination	1	0	1	1	0	1	0	0	0	0	isikizi
aboriginal	0	0	0	0	0	0	0	0	0	0	owomthonyama
abort	0	0	0	0	0	1	0	0	0	0	khupha isisu
abortion	0	0	1	1	0	1	0	1	0	0	ukuqhomfa
abortive	0	0	0	0	0	1	0	1	0	0	ukuqhomfa
abound	0	0	0	0	0	0	0	0	0	0	buninzi
abovementioned	0	0	0	0	0	0	1	0	0	0	ikhankanywe ngasentla
abrasion	0	0	0	0	0	1	0	0	0	0	ukuqhawuka
abroad	0	0	0	0	0	0	0	0	0	0	phesheya
abrogate	0	0	0	0	0	1	0	0	0	0	cima
abrupt	0	0	0	0	0	0	0	0	1	0	ngequbuliso
abruptly	0	0	0	0	0	0	0	0	0	0	ngequbuliso
abscess	0	0	0	0	0	1	0	1	0	0	ithumba
absence	0	0	0	1	0	1	0	1	0	0	ukungabikho
absent	0	0	0	0	0	1	0	1	0	0	engekho
absentee	0	0	0	0	0	1	0	1	0	0	ungekhoyo
absenteeism	0	0	0	0	0	1	0	0	0	0	ukungabikho emsebenzini
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	ngokupheleleyo
absolution	0	0	0	0	1	0	1	0	0	1	ukuxolelwa
absorbed	0	0	0	0	0	0	1	0	0	0	ifunxwe
absorbent	0	0	0	0	0	0	0	0	0	0	ifunxa
absorbing	0	0	0	0	0	0	0	0	0	0	ukufunxa
absorption	0	0	0	0	0	0	0	0	0	0	ukufunxa
abstain	0	0	0	0	0	0	0	0	0	0	khwebuka
abstention	0	0	0	0	0	0	0	0	0	0	ukungahoyi
abstinence	0	0	0	0	0	0	0	0	0	0	ukuziyeka
abstract	0	0	0	0	0	0	0	0	0	0	abstract
abstraction	0	0	0	0	0	0	0	0	0	0	ukuthabatha
absurd	0	0	0	0	0	1	0	0	0	0	akukho ngqiqweni
absurdity	0	0	0	0	0	1	0	0	0	0	ubudenge
abundance	0	1	1	0	1	1	1	0	0	1	ubuninzi
abundant	0	0	0	0	1	0	1	0	0	0	buninzi
abuse	1	0	1	1	0	1	0	1	0	0	ukuxhatshazwa
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	enyangeni
abyss	0	0	0	1	0	1	0	1	0	0	enzonzobileni
academic	0	0	0	0	0	0	1	0	0	1	zemfundo
academy	0	0	0	0	0	0	1	0	0	0	iakhademi
accede	0	0	0	0	0	0	0	0	0	0	ukungena
accelerate	0	1	0	0	0	0	0	0	0	0	khawulezisa
acceleration	0	0	0	0	0	0	0	0	0	0	ukukhawuleza
accent	0	0	0	0	0	0	0	0	0	0	isivakalisi
accentuate	0	0	0	0	0	0	0	0	0	0	gxininisa
accept	0	0	0	0	0	0	0	0	0	0	yamkela
acceptable	0	0	0	0	0	0	1	0	0	0	eyamkelekileyo
acceptance	0	0	0	0	0	0	1	0	0	0	ukwamkelwa
access	0	0	0	0	0	0	0	0	0	0	ukufikelela
accessible	0	0	0	0	0	0	1	0	0	0	iyafikeleleka
accession	0	0	0	0	0	0	0	0	0	0	ukungena
accessory	0	0	0	0	0	0	0	0	0	0	isincedisi
accident	0	0	0	1	0	1	0	1	1	0	ingozi
accidental	0	0	0	1	0	1	0	0	1	0	ngengozi
accidentally	0	0	0	0	0	0	0	0	1	0	ngempazamo
accolade	0	1	0	0	1	0	1	0	1	1	ukuncoma
accommodate	0	0	0	0	0	0	0	0	0	0	ukuhlalisa
accommodation	0	0	0	0	0	0	1	0	0	0	indawo yokuhlala
accompaniment	0	1	0	0	1	0	1	0	0	1	ukukhapha
accompany	0	0	0	0	0	0	0	0	0	0	khapha
accompanying	0	0	0	0	0	0	0	0	0	0	ndiyakhapha
accomplice	0	0	0	0	0	0	0	0	0	0	ukuhambisana
accomplish	0	0	0	0	1	0	1	0	0	0	fezekisa
accomplished	0	0	0	0	1	0	1	0	0	0	ifezekisiwe
accomplishment	0	0	0	0	0	0	1	0	0	0	impumelelo
accord	0	0	0	0	0	0	1	0	0	1	isivumelwano
accordance	0	0	0	0	0	0	0	0	0	0	ngokuhambelana
accordion	0	0	0	0	0	0	0	0	0	0	iakhodiyoni
account	0	0	0	0	0	0	0	0	0	1	iakhawunti
accountability	0	0	0	0	0	0	1	0	0	1	uxanduva
accountable	0	0	0	0	0	0	1	0	0	1	unoxanduva
accountant	0	0	0	0	0	0	0	0	0	1	umgcini zincwadi zemali
accounting	0	0	0	0	0	0	0	0	0	0	ingxelo
accounts	0	0	0	0	0	0	0	0	0	1	akhawunti
accredited	0	0	0	0	0	0	1	0	0	1	zivunyiwe
accretion	0	0	0	0	0	0	0	0	0	0	ukwanda
accrue	0	0	0	0	0	0	0	0	0	0	yongezeleka
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	qokelela
accumulation	0	0	0	0	0	0	0	0	0	0	ukuqokelela
accuracy	0	0	0	0	0	0	0	0	0	0	ukuchaneka
accurate	0	0	0	0	0	0	1	0	0	1	ichanekile
accursed	1	0	0	1	0	1	0	1	0	0	uqalekisiwe
accusation	1	0	1	0	0	1	0	0	0	0	isityholo
accusative	0	0	0	0	0	1	0	0	0	0	otyholayo
accused	1	0	0	1	0	1	0	0	0	0	umtyholwa
accuser	1	0	0	1	0	1	0	0	0	0	ummangaleli
accusing	1	0	0	1	0	1	0	0	0	0	etyholayo
accustomed	0	0	0	0	0	0	0	0	0	0	qhela
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	iacetic
ache	0	0	0	0	0	1	0	1	0	0	intlungu
achieve	0	0	0	0	1	0	1	0	0	1	zuza
achievement	0	1	0	0	1	0	1	0	0	1	impumelelo
aching	0	0	0	0	0	1	0	1	0	0	buhlungu
acid	0	0	0	0	0	1	0	0	0	0	iasidi
acidity	0	0	0	0	0	0	0	0	0	0	ubumuncu
acknowledge	0	0	0	0	0	0	0	0	0	0	vuma
acknowledged	0	0	0	0	0	0	0	0	0	0	yavuma
acknowledgment	0	0	0	0	0	0	1	0	0	0	ukuvuma
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	acoustic
acoustics	0	0	0	0	0	0	0	0	0	0	acoustics
acquaint	0	0	0	0	0	0	0	0	0	0	qhelana
acquaintance	0	0	0	0	0	0	0	0	0	0	ukwazana
acquainted	0	0	0	0	0	0	0	0	0	0	abaqhelileyo
acquiescence	0	0	0	0	0	0	0	0	0	0	ukuvuma
acquire	0	0	0	0	0	0	1	0	0	0	zuza
acquiring	0	1	0	0	0	0	1	0	0	0	ukufumana
acquisition	0	0	0	0	0	0	0	0	0	0	ukufumana
acquisitions	0	0	0	0	0	0	0	0	0	0	ukufunyanwa
acreage	0	0	0	0	0	0	0	0	0	0	iacreage
acres	0	0	0	0	0	0	0	0	0	0	iihektare
acrobat	0	0	0	1	1	0	1	0	0	1	i-acrobat
act	0	0	0	0	0	0	0	0	0	0	isenzo
acting	0	0	0	0	0	0	0	0	0	0	ukudlala
action	0	0	0	0	0	0	1	0	0	0	isenzo
actionable	1	0	1	0	0	1	0	0	0	0	yenzeka
active	0	0	0	0	0	0	0	0	0	0	esebenzayo
activity	0	0	0	0	0	0	0	0	0	0	umsebenzi
actor	0	0	0	0	0	0	0	0	0	0	umdlali weqonga
actual	0	0	0	0	0	0	1	0	0	0	eyona
actuality	0	0	0	0	0	0	0	0	0	0	ubunyani
actuary	0	0	0	0	0	0	0	0	0	0	ingcaphephe
acuity	0	0	0	0	0	0	1	0	0	0	ubukrelekrele
acumen	0	0	0	0	0	0	1	0	0	0	acumen
acupuncture	0	0	0	0	0	0	0	0	0	0	iacupuncture
acutely	0	0	0	0	0	0	0	0	0	0	ngokukhawuleza
adage	0	0	0	0	0	0	0	0	0	0	isaci
adamant	0	0	0	0	0	0	0	0	0	0	eqinile
adapt	0	0	0	0	0	0	1	0	0	0	ukuziqhelanisa
adaptable	0	0	0	0	0	0	1	0	0	0	bhetyebhetye
add	0	0	0	0	0	0	0	0	0	0	yongeza
added	0	0	0	0	0	0	0	0	0	0	yongezwe
addendum	0	0	0	0	0	0	0	0	0	0	isihlomelo
adder	1	0	1	1	0	1	0	1	0	0	inyoka
addiction	0	0	0	0	0	1	0	0	0	0	umlutha
addition	0	0	0	0	0	0	0	0	0	0	ukongeza
additional	0	0	0	0	0	0	0	0	0	0	ezongezelelweyo
additive	0	0	0	0	0	0	0	0	0	0	ukongeza
address	0	0	0	0	0	0	0	0	0	0	idilesi
addressee	0	0	0	0	0	0	0	0	0	0	idilesi
addresses	0	1	0	0	0	0	1	0	0	0	iidilesi
adept	0	0	0	0	0	0	1	0	0	0	nobuchule
adequacy	0	0	0	0	0	0	1	0	0	0	ukwanela
adequate	0	0	0	0	0	0	0	0	0	0	ngokwaneleyo
adhere	0	0	0	0	0	0	0	0	0	0	bambelela
adherence	0	0	0	0	0	0	0	0	0	0	ukubambelela
adherent	0	0	0	0	0	0	0	0	0	0	ukubambelela
adhering	0	0	0	0	0	0	0	0	0	1	ukubambelela
adhesion	0	0	0	0	0	0	0	0	0	0	ukuncamathela
adhesive	0	0	0	0	0	0	0	0	0	0	ukuncamathelisa
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	adipose
adjacency	0	0	0	0	0	0	0	0	0	0	ukusondela
adjacent	0	0	0	0	0	0	0	0	0	0	kufuphi
adjective	0	0	0	0	0	0	0	0	0	0	isichazi
adjoining	0	0	0	0	0	0	0	0	0	0	edibanayo
adjourn	0	0	0	0	0	0	0	0	0	0	nqumamisa
adjournment	0	0	0	0	0	0	0	0	0	0	ukumiswa
adjudicate	0	0	0	1	0	1	0	0	0	0	gweba
adjudication	0	0	0	0	0	0	0	0	0	0	isigwebo
adjunct	0	0	0	0	0	0	1	0	0	0	isihlomelo
adjust	0	0	0	0	0	0	0	0	0	0	lungisa
adjustment	0	0	0	0	0	0	0	0	0	0	uhlengahlengiso
adjuvant	0	0	0	0	0	0	0	0	0	0	i-adjuvant
administer	0	0	0	0	0	0	0	0	0	0	lawula
administration	0	0	0	0	0	0	0	0	0	0	ulawulo
administrative	0	0	0	0	0	0	0	0	0	1	ulawulo
admirable	0	0	0	0	1	0	1	0	0	1	encomekayo
admiral	0	0	0	0	0	0	1	0	0	1	umphathi-mkhosi
admiralty	0	0	0	0	0	0	0	0	0	0	i-admiralty
admiration	0	0	0	0	1	0	1	0	0	1	ukuncoma
admire	0	0	0	0	0	0	1	0	0	1	ncoma
admirer	0	0	0	0	0	0	1	0	0	0	umthandi
admissibility	0	0	0	0	0	0	0	0	0	0	ukuvunyelwa
admissible	0	0	0	0	0	0	1	0	0	1	kwamkelekile
admission	0	0	0	0	0	0	0	0	0	0	ukwamkelwa
admit	0	0	0	0	0	0	0	0	0	0	vuma
admittance	0	0	0	0	0	0	0	0	0	0	ukwamkelwa
admitted	0	0	0	0	0	0	0	0	0	0	yavuma
admitting	0	0	0	0	0	0	0	0	0	0	ukuvuma
admixture	0	0	0	0	0	0	0	0	0	0	umxube
admonition	0	0	0	1	0	1	0	0	0	0	isiyalo
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	iadobe
adolescence	0	0	0	0	0	0	0	0	0	0	ukufikisa
adolescent	0	0	0	0	0	0	0	0	0	0	ofikisayo
adopt	0	0	0	0	0	0	0	0	0	0	ukwamkela
adoption	0	0	0	0	0	0	0	0	0	0	ukwamkelwa
adorable	0	0	0	0	1	0	1	0	0	0	iyathandeka
adoration	0	0	0	0	1	0	1	0	0	1	ukunqula
adore	0	1	0	0	1	0	1	0	0	1	nqula
adorn	0	0	0	0	0	0	0	0	0	0	ukuhombisa
adornment	0	0	0	0	0	0	0	0	0	0	isihombiso
adrift	0	1	0	1	0	1	0	1	0	0	adrift
adult	0	0	0	0	0	0	0	0	0	0	umntu omdala
adulterated	0	0	0	0	0	1	0	0	0	0	ikrexezile
adultery	0	0	1	0	0	1	0	1	0	0	ukukrexeza
advance	0	1	0	1	1	0	1	0	1	0	phambili
advanced	0	0	0	0	0	0	1	0	0	0	phambili
advancement	0	0	0	0	0	0	1	0	0	0	ukuqhubela phambili
