English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Yiddish Word
aback	0	0	0	0	0	0	0	0	0	0	פאַרוואונדערט
abacus	0	0	0	0	0	0	0	0	0	1	אַבאַקוס
abandon	0	0	0	1	0	1	0	1	0	0	פאַרלאָזן
abandoned	1	0	0	1	0	1	0	1	0	0	פארלאזט
abandonment	1	0	0	1	0	1	0	1	1	0	פאַרלאָזן
abate	0	0	0	0	0	0	0	0	0	0	פאַרמינערן
abatement	0	0	0	0	0	0	0	0	0	0	אַבייטמאַנט
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	אבאָט
abbreviate	0	0	0	0	0	0	0	0	0	0	פאַרקירצן
abbreviation	0	0	0	0	0	0	0	0	0	0	אַבריווייישאַן
abdomen	0	0	0	0	0	0	0	0	0	0	בויך
abdominal	0	0	0	0	0	0	0	0	0	0	אַבדאָמינאַל
abduction	0	0	0	1	0	1	0	1	1	0	אַבדאַקשאַן
aberrant	0	0	0	0	0	1	0	0	0	0	אָפּפאַל
aberration	0	0	1	0	0	1	0	0	0	0	אַבעריישאַן
abeyance	0	0	0	0	0	0	0	0	0	0	אַבייאַנס
abhor	1	0	1	1	0	1	0	0	0	0	פאַרשעמען
abhorrent	1	0	1	1	0	1	0	0	0	0	פאַרכאַפּנדיק
abide	0	0	0	0	0	0	0	0	0	0	בלייבן
ability	0	0	0	0	0	0	1	0	0	0	פיייקייט
abject	0	0	1	0	0	1	0	0	0	0	שלעכט
ablation	0	0	0	0	0	0	0	0	0	0	אַבלאַטיאָן
ablaze	0	0	0	0	0	0	0	0	0	0	בלײַבן
abnormal	0	0	1	0	0	1	0	0	0	0	אַבנאָרמאַל
aboard	0	0	0	0	0	0	0	0	0	0	אַבאָרד
abode	0	0	0	0	0	0	0	0	0	0	פארבליבן
abolish	1	0	0	0	0	1	0	0	0	0	אָפּשאַפן
abolition	0	0	0	0	0	1	0	0	0	0	אַבאַלישאַן
abominable	0	0	1	1	0	1	0	0	0	0	אַבאַמאַנאַבאַל
abomination	1	0	1	1	0	1	0	0	0	0	אַבאַמאַניישאַן
aboriginal	0	0	0	0	0	0	0	0	0	0	אַבאָריגינאַל
abort	0	0	0	0	0	1	0	0	0	0	אַבאָרט
abortion	0	0	1	1	0	1	0	1	0	0	אַבאָרשאַן
abortive	0	0	0	0	0	1	0	1	0	0	אַבאָרטיוו
abound	0	0	0	0	0	0	0	0	0	0	פארמערט
abovementioned	0	0	0	0	0	0	1	0	0	0	אויבן דערמאנטער
abrasion	0	0	0	0	0	1	0	0	0	0	אַברייזשאַן
abroad	0	0	0	0	0	0	0	0	0	0	אויסלאנד
abrogate	0	0	0	0	0	1	0	0	0	0	אָפּרוען
abrupt	0	0	0	0	0	0	0	0	1	0	פּלוצעמדיק
abruptly	0	0	0	0	0	0	0	0	0	0	פּלוצלינג
abscess	0	0	0	0	0	1	0	1	0	0	אַבסעסס
absence	0	0	0	1	0	1	0	1	0	0	אַוועק
absent	0	0	0	0	0	1	0	1	0	0	ניטאָ
absentee	0	0	0	0	0	1	0	1	0	0	ניטאָ
absenteeism	0	0	0	0	0	1	0	0	0	0	אַוועקזעצן
absinthe	0	0	0	0	0	0	0	0	0	0	אַבסינט
absolute	0	0	0	0	0	0	1	0	0	0	אַבסאָלוט
absolution	0	0	0	0	1	0	1	0	0	1	אַבסאָלוטיאָן
absorbed	0	0	0	0	0	0	1	0	0	0	אַבזאָרבד
absorbent	0	0	0	0	0	0	0	0	0	0	אַבזאָרבאַנט
absorbing	0	0	0	0	0	0	0	0	0	0	אַבזאָרבינג
absorption	0	0	0	0	0	0	0	0	0	0	אַבזאָרפּשאַן
abstain	0	0	0	0	0	0	0	0	0	0	אָפּהאַלטן
abstention	0	0	0	0	0	0	0	0	0	0	אָפּהאַלטן
abstinence	0	0	0	0	0	0	0	0	0	0	אַבסטאַנאַנס
abstract	0	0	0	0	0	0	0	0	0	0	אַבסטראַקט
abstraction	0	0	0	0	0	0	0	0	0	0	אַבסטראַקציע
absurd	0	0	0	0	0	1	0	0	0	0	ווילד
absurdity	0	0	0	0	0	1	0	0	0	0	אַבסורד
abundance	0	1	1	0	1	1	1	0	0	1	זעט
abundant	0	0	0	0	1	0	1	0	0	0	שעפעדיק
abuse	1	0	1	1	0	1	0	1	0	0	זידלען
abutment	0	0	0	0	0	0	0	0	0	0	אַבוטמענט
aby	0	0	0	0	0	0	0	0	0	0	אַבי
abysmal	0	0	0	0	0	1	0	1	0	0	אַביסמאַל
abyss	0	0	0	1	0	1	0	1	0	0	תהום
academic	0	0	0	0	0	0	1	0	0	1	אַקאַדעמיק
academy	0	0	0	0	0	0	1	0	0	0	אַקאַדעמיע
accede	0	0	0	0	0	0	0	0	0	0	צוטרעטן
accelerate	0	1	0	0	0	0	0	0	0	0	פאַרגיכערן
acceleration	0	0	0	0	0	0	0	0	0	0	אַקסעלעריישאַן
accent	0	0	0	0	0	0	0	0	0	0	אַקצענט
accentuate	0	0	0	0	0	0	0	0	0	0	אַקצענטירן
accept	0	0	0	0	0	0	0	0	0	0	אָננעמען
acceptable	0	0	0	0	0	0	1	0	0	0	פּאַסיק
acceptance	0	0	0	0	0	0	1	0	0	0	אַקסעפּטאַנס
access	0	0	0	0	0	0	0	0	0	0	צוטריט
accessible	0	0	0	0	0	0	1	0	0	0	צוטריטלעך
accession	0	0	0	0	0	0	0	0	0	0	אַקסעשאַן
accessory	0	0	0	0	0	0	0	0	0	0	אַקסעסערי
accident	0	0	0	1	0	1	0	1	1	0	צופאַל
accidental	0	0	0	1	0	1	0	0	1	0	צופאַל
accidentally	0	0	0	0	0	0	0	0	1	0	צופאַל
accolade	0	1	0	0	1	0	1	0	1	1	אַקקאָלאַדע
accommodate	0	0	0	0	0	0	0	0	0	0	צושטעלן
accommodation	0	0	0	0	0	0	1	0	0	0	אַקאַמאַדיישאַן
accompaniment	0	1	0	0	1	0	1	0	0	1	אַקאַמפּנימאַנט
accompany	0	0	0	0	0	0	0	0	0	0	באַגלייטן
accompanying	0	0	0	0	0	0	0	0	0	0	מיטגיין
accomplice	0	0	0	0	0	0	0	0	0	0	מיטאַרבעטער
accomplish	0	0	0	0	1	0	1	0	0	0	ויספירן
accomplished	0	0	0	0	1	0	1	0	0	0	פארענדיקט
accomplishment	0	0	0	0	0	0	1	0	0	0	אַקאַמפּלישמאַנט
