English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Yoruba Word
aback	0	0	0	0	0	0	0	0	0	0	iyalenu
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	kọ silẹ
abandoned	1	0	0	1	0	1	0	1	0	0	abandoned
abandonment	1	0	0	1	0	1	0	1	1	0	kọ silẹ
abate	0	0	0	0	0	0	0	0	0	0	abate
abatement	0	0	0	0	0	0	0	0	0	0	idinku
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	aboti
abbreviate	0	0	0	0	0	0	0	0	0	0	kekuru
abbreviation	0	0	0	0	0	0	0	0	0	0	abbreviation
abdomen	0	0	0	0	0	0	0	0	0	0	ikun
abdominal	0	0	0	0	0	0	0	0	0	0	inu
abduction	0	0	0	1	0	1	0	1	1	0	ifasilẹ awọn
aberrant	0	0	0	0	0	1	0	0	0	0	aberrant
aberration	0	0	1	0	0	1	0	0	0	0	aberration
abeyance	0	0	0	0	0	0	0	0	0	0	abeyance
abhor	1	0	1	1	0	1	0	0	0	0	korira
abhorrent	1	0	1	1	0	1	0	0	0	0	irira
abide	0	0	0	0	0	0	0	0	0	0	duro
ability	0	0	0	0	0	0	1	0	0	0	agbara
abject	0	0	1	0	0	1	0	0	0	0	airotẹlẹ
ablation	0	0	0	0	0	0	0	0	0	0	ablation
ablaze	0	0	0	0	0	0	0	0	0	0	gbigbona
abnormal	0	0	1	0	0	1	0	0	0	0	ajeji
aboard	0	0	0	0	0	0	0	0	0	0	ngbenu
abode	0	0	0	0	0	0	0	0	0	0	ibugbe
abolish	1	0	0	0	0	1	0	0	0	0	fopin si
abolition	0	0	0	0	0	1	0	0	0	0	imukuro
abominable	0	0	1	1	0	1	0	0	0	0	irira
abomination	1	0	1	1	0	1	0	0	0	0	irira
aboriginal	0	0	0	0	0	0	0	0	0	0	abinibi
abort	0	0	0	0	0	1	0	0	0	0	iṣẹyun
abortion	0	0	1	1	0	1	0	1	0	0	iṣẹyun
abortive	0	0	0	0	0	1	0	1	0	0	aboyun
abound	0	0	0	0	0	0	0	0	0	0	pọ
abovementioned	0	0	0	0	0	0	1	0	0	0	loke darukọ
abrasion	0	0	0	0	0	1	0	0	0	0	abrasion
abroad	0	0	0	0	0	0	0	0	0	0	odi
abrogate	0	0	0	0	0	1	0	0	0	0	fagilee
abrupt	0	0	0	0	0	0	0	0	1	0	lojiji
abruptly	0	0	0	0	0	0	0	0	0	0	lojiji
abscess	0	0	0	0	0	1	0	1	0	0	abscess
absence	0	0	0	1	0	1	0	1	0	0	isansa
absent	0	0	0	0	0	1	0	1	0	0	ti ko si
absentee	0	0	0	0	0	1	0	1	0	0	isansa
absenteeism	0	0	0	0	0	1	0	0	0	0	isansa
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	pipe
absolution	0	0	0	0	1	0	1	0	0	1	abolution
absorbed	0	0	0	0	0	0	1	0	0	0	gbigba
absorbent	0	0	0	0	0	0	0	0	0	0	absorbent
absorbing	0	0	0	0	0	0	0	0	0	0	gbigba
absorption	0	0	0	0	0	0	0	0	0	0	gbigba
abstain	0	0	0	0	0	0	0	0	0	0	yẹra fun
abstention	0	0	0	0	0	0	0	0	0	0	aibikita
abstinence	0	0	0	0	0	0	0	0	0	0	abstinence
abstract	0	0	0	0	0	0	0	0	0	0	áljẹbrà
abstraction	0	0	0	0	0	0	0	0	0	0	áljẹbrà
absurd	0	0	0	0	0	1	0	0	0	0	inira
absurdity	0	0	0	0	0	1	0	0	0	0	absurdity
abundance	0	1	1	0	1	1	1	0	0	1	lọpọlọpọ
abundant	0	0	0	0	1	0	1	0	0	0	lọpọlọpọ
abuse	1	0	1	1	0	1	0	1	0	0	ilokulo
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	abi
abysmal	0	0	0	0	0	1	0	1	0	0	abysmal
abyss	0	0	0	1	0	1	0	1	0	0	abyss
academic	0	0	0	0	0	0	1	0	0	1	omowe
academy	0	0	0	0	0	0	1	0	0	0	ijinlẹ
accede	0	0	0	0	0	0	0	0	0	0	gba wọle
accelerate	0	1	0	0	0	0	0	0	0	0	mu yara
acceleration	0	0	0	0	0	0	0	0	0	0	isare
accent	0	0	0	0	0	0	0	0	0	0	asẹnti
accentuate	0	0	0	0	0	0	0	0	0	0	accentuate
accept	0	0	0	0	0	0	0	0	0	0	gba
acceptable	0	0	0	0	0	0	1	0	0	0	itewogba
acceptance	0	0	0	0	0	0	1	0	0	0	gbigba
access	0	0	0	0	0	0	0	0	0	0	wiwọle
accessible	0	0	0	0	0	0	1	0	0	0	wiwọle
accession	0	0	0	0	0	0	0	0	0	0	wiwọle
accessory	0	0	0	0	0	0	0	0	0	0	ẹya ẹrọ
accident	0	0	0	1	0	1	0	1	1	0	ijamba
accidental	0	0	0	1	0	1	0	0	1	0	lairotẹlẹ
accidentally	0	0	0	0	0	0	0	0	1	0	lairotẹlẹ
accolade	0	1	0	0	1	0	1	0	1	1	iyin
accommodate	0	0	0	0	0	0	0	0	0	0	gba
accommodation	0	0	0	0	0	0	1	0	0	0	ibugbe
accompaniment	0	1	0	0	1	0	1	0	0	1	akẹgbẹ
accompany	0	0	0	0	0	0	0	0	0	0	tẹle
accompanying	0	0	0	0	0	0	0	0	0	0	ti o tẹle
accomplice	0	0	0	0	0	0	0	0	0	0	alabaṣe
accomplish	0	0	0	0	1	0	1	0	0	0	ṣe aṣeyọri
accomplished	0	0	0	0	1	0	1	0	0	0	ṣẹ
accomplishment	0	0	0	0	0	0	1	0	0	0	aseyori
accord	0	0	0	0	0	0	1	0	0	1	ibamu
accordance	0	0	0	0	0	0	0	0	0	0	ni ibamu
accordion	0	0	0	0	0	0	0	0	0	0	accordion
account	0	0	0	0	0	0	0	0	0	1	iroyin
accountability	0	0	0	0	0	0	1	0	0	1	iṣiro
accountable	0	0	0	0	0	0	1	0	0	1	jiyin
accountant	0	0	0	0	0	0	0	0	0	1	oniṣiro
accounting	0	0	0	0	0	0	0	0	0	0	iṣiro
accounts	0	0	0	0	0	0	0	0	0	1	awọn iroyin
accredited	0	0	0	0	0	0	1	0	0	1	ti gbẹtọ
accretion	0	0	0	0	0	0	0	0	0	0	accreation
accrue	0	0	0	0	0	0	0	0	0	0	accrue
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	akojo
accumulation	0	0	0	0	0	0	0	0	0	0	ikojọpọ
accuracy	0	0	0	0	0	0	0	0	0	0	išedede
accurate	0	0	0	0	0	0	1	0	0	1	deede
accursed	1	0	0	1	0	1	0	1	0	0	ègún
accusation	1	0	1	0	0	1	0	0	0	0	ẹsun
accusative	0	0	0	0	0	1	0	0	0	0	ẹsun
accused	1	0	0	1	0	1	0	0	0	0	ẹsun
accuser	1	0	0	1	0	1	0	0	0	0	olufisun
accusing	1	0	0	1	0	1	0	0	0	0	ẹsun
accustomed	0	0	0	0	0	0	0	0	0	0	saba
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	acetic
ache	0	0	0	0	0	1	0	1	0	0	irora
achieve	0	0	0	0	1	0	1	0	0	1	se aseyori
achievement	0	1	0	0	1	0	1	0	0	1	aseyori
aching	0	0	0	0	0	1	0	1	0	0	irora
acid	0	0	0	0	0	1	0	0	0	0	acid
acidity	0	0	0	0	0	0	0	0	0	0	acidity
acknowledge	0	0	0	0	0	0	0	0	0	0	jẹwọ
acknowledged	0	0	0	0	0	0	0	0	0	0	gba
acknowledgment	0	0	0	0	0	0	1	0	0	0	ifọwọsi
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	akositiki
acoustics	0	0	0	0	0	0	0	0	0	0	akositiki
acquaint	0	0	0	0	0	0	0	0	0	0	ojúlùmọ̀
acquaintance	0	0	0	0	0	0	0	0	0	0	ojulumọ
acquainted	0	0	0	0	0	0	0	0	0	0	acquainted
acquiescence	0	0	0	0	0	0	0	0	0	0	acquiescence
acquire	0	0	0	0	0	0	1	0	0	0	gba
acquiring	0	1	0	0	0	0	1	0	0	0	gbigba
acquisition	0	0	0	0	0	0	0	0	0	0	akomora
acquisitions	0	0	0	0	0	0	0	0	0	0	awọn ohun-ini
acreage	0	0	0	0	0	0	0	0	0	0	ekaji
acres	0	0	0	0	0	0	0	0	0	0	awon eka
acrobat	0	0	0	1	1	0	1	0	0	1	acrobat
act	0	0	0	0	0	0	0	0	0	0	sise
acting	0	0	0	0	0	0	0	0	0	0	sise
action	0	0	0	0	0	0	1	0	0	0	igbese
actionable	1	0	1	0	0	1	0	0	0	0	sise
active	0	0	0	0	0	0	0	0	0	0	lọwọ
activity	0	0	0	0	0	0	0	0	0	0	aṣayan iṣẹ-ṣiṣe
actor	0	0	0	0	0	0	0	0	0	0	osere
actual	0	0	0	0	0	0	1	0	0	0	gangan
actuality	0	0	0	0	0	0	0	0	0	0	otito
actuary	0	0	0	0	0	0	0	0	0	0	oṣere
acuity	0	0	0	0	0	0	1	0	0	0	acuity
acumen	0	0	0	0	0	0	1	0	0	0	oye
acupuncture	0	0	0	0	0	0	0	0	0	0	acupuncture
acutely	0	0	0	0	0	0	0	0	0	0	acutely
adage	0	0	0	0	0	0	0	0	0	0	Adawe
adamant	0	0	0	0	0	0	0	0	0	0	adamant
adapt	0	0	0	0	0	0	1	0	0	0	badọgba
adaptable	0	0	0	0	0	0	1	0	0	0	adaptable
add	0	0	0	0	0	0	0	0	0	0	fi kun
added	0	0	0	0	0	0	0	0	0	0	kun
addendum	0	0	0	0	0	0	0	0	0	0	afikun
adder	1	0	1	1	0	1	0	1	0	0	paramọlẹ
addiction	0	0	0	0	0	1	0	0	0	0	afẹsodi
addition	0	0	0	0	0	0	0	0	0	0	afikun
additional	0	0	0	0	0	0	0	0	0	0	afikun
additive	0	0	0	0	0	0	0	0	0	0	aropo
address	0	0	0	0	0	0	0	0	0	0	adirẹsi
addressee	0	0	0	0	0	0	0	0	0	0	adiresi
addresses	0	1	0	0	0	0	1	0	0	0	awọn adirẹsi
adept	0	0	0	0	0	0	1	0	0	0	ogbontarigi
adequacy	0	0	0	0	0	0	1	0	0	0	deedee
adequate	0	0	0	0	0	0	0	0	0	0	deedee
adhere	0	0	0	0	0	0	0	0	0	0	faramọ
adherence	0	0	0	0	0	0	0	0	0	0	ifaramọ
adherent	0	0	0	0	0	0	0	0	0	0	alafaramo
adhering	0	0	0	0	0	0	0	0	0	1	adhering
adhesion	0	0	0	0	0	0	0	0	0	0	ifaramọ
adhesive	0	0	0	0	0	0	0	0	0	0	alemora
adieu	0	0	0	0	0	0	0	0	0	0	adiyu
adipose	0	0	0	0	0	1	0	0	0	0	adipose
adjacency	0	0	0	0	0	0	0	0	0	0	isunmọtosi
adjacent	0	0	0	0	0	0	0	0	0	0	nitosi
adjective	0	0	0	0	0	0	0	0	0	0	ajẹtífù
adjoining	0	0	0	0	0	0	0	0	0	0	ti o sunmọ
adjourn	0	0	0	0	0	0	0	0	0	0	sun siwaju
adjournment	0	0	0	0	0	0	0	0	0	0	idaduro
adjudicate	0	0	0	1	0	1	0	0	0	0	idajọ
adjudication	0	0	0	0	0	0	0	0	0	0	idajọ
adjunct	0	0	0	0	0	0	1	0	0	0	afikun
adjust	0	0	0	0	0	0	0	0	0	0	satunṣe
adjustment	0	0	0	0	0	0	0	0	0	0	tolesese
adjuvant	0	0	0	0	0	0	0	0	0	0	oluranlowo
administer	0	0	0	0	0	0	0	0	0	0	ṣakoso
administration	0	0	0	0	0	0	0	0	0	0	isakoso
administrative	0	0	0	0	0	0	0	0	0	1	isakoso
admirable	0	0	0	0	1	0	1	0	0	1	admirable
admiral	0	0	0	0	0	0	1	0	0	1	oga agba
admiralty	0	0	0	0	0	0	0	0	0	0	admiralty
admiration	0	0	0	0	1	0	1	0	0	1	ifojuri
admire	0	0	0	0	0	0	1	0	0	1	ṣe ẹwà
admirer	0	0	0	0	0	0	1	0	0	0	olufẹ
admissibility	0	0	0	0	0	0	0	0	0	0	gbigba
admissible	0	0	0	0	0	0	1	0	0	1	gbigba
admission	0	0	0	0	0	0	0	0	0	0	gbigba
admit	0	0	0	0	0	0	0	0	0	0	gba
admittance	0	0	0	0	0	0	0	0	0	0	gbigba
admitted	0	0	0	0	0	0	0	0	0	0	gba
