English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Zulu Word
aback	0	0	0	0	0	0	0	0	0	0	ngokumangala
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	lahla
abandoned	1	0	0	1	0	1	0	1	0	0	ilahliwe
abandonment	1	0	0	1	0	1	0	1	1	0	ukulahlwa
abate	0	0	0	0	0	0	0	0	0	0	yancipha
abatement	0	0	0	0	0	0	0	0	0	0	ukwehliswa
abba	0	0	0	0	0	0	1	0	0	0	aba
abbot	0	0	0	0	0	0	0	0	0	1	u-abbot
abbreviate	0	0	0	0	0	0	0	0	0	0	finyeza
abbreviation	0	0	0	0	0	0	0	0	0	0	isifinyezo
abdomen	0	0	0	0	0	0	0	0	0	0	isisu
abdominal	0	0	0	0	0	0	0	0	0	0	isisu
abduction	0	0	0	1	0	1	0	1	1	0	ukuthunjwa
aberrant	0	0	0	0	0	1	0	0	0	0	ephambene
aberration	0	0	1	0	0	1	0	0	0	0	ukuhoxa
abeyance	0	0	0	0	0	0	0	0	0	0	ukuhamba
abhor	1	0	1	1	0	1	0	0	0	0	nyanya
abhorrent	1	0	1	1	0	1	0	0	0	0	enyanyekayo
abide	0	0	0	0	0	0	0	0	0	0	hlala
ability	0	0	0	0	0	0	1	0	0	0	ikhono
abject	0	0	1	0	0	1	0	0	0	0	enyanyekayo
ablation	0	0	0	0	0	0	0	0	0	0	ukukhishwa
ablaze	0	0	0	0	0	0	0	0	0	0	kuvutha
abnormal	0	0	1	0	0	1	0	0	0	0	okungajwayelekile
aboard	0	0	0	0	0	0	0	0	0	0	phakathi
abode	0	0	0	0	0	0	0	0	0	0	hlala
abolish	1	0	0	0	0	1	0	0	0	0	qeda
abolition	0	0	0	0	0	1	0	0	0	0	ukuqedwa
abominable	0	0	1	1	0	1	0	0	0	0	enengekayo
abomination	1	0	1	1	0	1	0	0	0	0	amanyala
aboriginal	0	0	0	0	0	0	0	0	0	0	owomdabu
abort	0	0	0	0	0	1	0	0	0	0	khipha isisu
abortion	0	0	1	1	0	1	0	1	0	0	ukukhipha isisu
abortive	0	0	0	0	0	1	0	1	0	0	okhipha isisu
abound	0	0	0	0	0	0	0	0	0	0	ningi
abovementioned	0	0	0	0	0	0	1	0	0	0	okukhulunywe ngenhla
abrasion	0	0	0	0	0	1	0	0	0	0	ukuhuzuka
abroad	0	0	0	0	0	0	0	0	0	0	phesheya
abrogate	0	0	0	0	0	1	0	0	0	0	chitha
abrupt	0	0	0	0	0	0	0	0	1	0	kungazelelwe
abruptly	0	0	0	0	0	0	0	0	0	0	kungazelelwe
abscess	0	0	0	0	0	1	0	1	0	0	ithumba
absence	0	0	0	1	0	1	0	1	0	0	ukungabi khona
absent	0	0	0	0	0	1	0	1	0	0	ngingekho
absentee	0	0	0	0	0	1	0	1	0	0	ongekho
absenteeism	0	0	0	0	0	1	0	0	0	0	ukulova
absinthe	0	0	0	0	0	0	0	0	0	0	i-absinthe
absolute	0	0	0	0	0	0	1	0	0	0	ngokuphelele
absolution	0	0	0	0	1	0	1	0	0	1	ukukhululwa
absorbed	0	0	0	0	0	0	1	0	0	0	amuncwa
absorbent	0	0	0	0	0	0	0	0	0	0	amunca
absorbing	0	0	0	0	0	0	0	0	0	0	kuyamunca
absorption	0	0	0	0	0	0	0	0	0	0	ukumuncwa
abstain	0	0	0	0	0	0	0	0	0	0	deda
abstention	0	0	0	0	0	0	0	0	0	0	ukuzithiba
abstinence	0	0	0	0	0	0	0	0	0	0	ukuzithiba
abstract	0	0	0	0	0	0	0	0	0	0	abstract
abstraction	0	0	0	0	0	0	0	0	0	0	ukukhipha
absurd	0	0	0	0	0	1	0	0	0	0	okungenangqondo
absurdity	0	0	0	0	0	1	0	0	0	0	ubuwula
abundance	0	1	1	0	1	1	1	0	0	1	inala
abundant	0	0	0	0	1	0	1	0	0	0	kuningi
abuse	1	0	1	1	0	1	0	1	0	0	ukuhlukunyezwa
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	lapho
abysmal	0	0	0	0	0	1	0	1	0	0	okwabi
abyss	0	0	0	1	0	1	0	1	0	0	kwalasha
academic	0	0	0	0	0	0	1	0	0	1	zemfundo
academy	0	0	0	0	0	0	1	0	0	0	esikoleni
accede	0	0	0	0	0	0	0	0	0	0	vuma
accelerate	0	1	0	0	0	0	0	0	0	0	sheshisa
acceleration	0	0	0	0	0	0	0	0	0	0	ukusheshisa
accent	0	0	0	0	0	0	0	0	0	0	isisho
accentuate	0	0	0	0	0	0	0	0	0	0	gcizelela
accept	0	0	0	0	0	0	0	0	0	0	vuma
acceptable	0	0	0	0	0	0	1	0	0	0	eyamukelekayo
acceptance	0	0	0	0	0	0	1	0	0	0	ukwamukelwa
access	0	0	0	0	0	0	0	0	0	0	ukufinyelela
accessible	0	0	0	0	0	0	1	0	0	0	kuyafinyeleleka
accession	0	0	0	0	0	0	0	0	0	0	ukungena
accessory	0	0	0	0	0	0	0	0	0	0	isesekeli
accident	0	0	0	1	0	1	0	1	1	0	ingozi
accidental	0	0	0	1	0	1	0	0	1	0	ngengozi
accidentally	0	0	0	0	0	0	0	0	1	0	ngengozi
accolade	0	1	0	0	1	0	1	0	1	1	ncoma
accommodate	0	0	0	0	0	0	0	0	0	0	ukuhlalisa
accommodation	0	0	0	0	0	0	1	0	0	0	indawo yokuhlala
